123	863	1049
133	863	1049
143	863	1049
153	863	1049
163	863	1049
173	863	1049
183	863	1049
193	863	1049
203	863	1049
213	863	1049
223	863	1049
233	867	1055
243	867	1055
253	867	1055
263	867	1055
273	867	1055
283	867	1055
293	867	1055
303	867	1055
Wed-Jul-03-2024=02:19:14	323	867	1055
Wed-Jul-03-2024 02:20:00	343	867	1055
Wed-Jul-03-2024 02:20:10	353	867	1055
Wed-Jul-03-2024 02:20:20	363	867	1055
03-07-2024 02:23:58	382	867	1055
